Number,nces_school_id,school_name,nces_district_id,district_name,date,month,day,year,school_year,year2,time,day_of_week,city,state,school_type,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,shooter_relationship1,weapon,weapon_source,county,state_fips,county_fips
1,80480000707,Columbine High School,804800,Jefferson County R-1,4/20/1999,4,20,1999,1998-1999,1999,11:19 am,Tuesday,Littleton,Colorado,public,13,21,34,indiscriminate,18,m,student,"12-gauge Savage-Springfield 67H pump-action shotgun, Hi-Point 995 Carbine 9 mm carbine, 9_19mm Intratec TEC-9 semi-automatic handgun, 12-gauge Stevens 311D double-barreled sawed-off shotgun",purchased from friends,Jefferson County,8,8059
2,2.20054E+11,Scotlandville Middle School,2200540,East Baton Rouge Parish School Board,4/22/1999,4,22,1999,1998-1999,1999,12:30 pm,Thursday,Baton Rouge,Louisiana,public,0,1,1,targeted,14,m,former student (expelled),.22 caliber pistol,,East Baton Rouge Parish,22,22033
3,1.30441E+11,Heritage High School,1304410,Rockdale County,5/20/1999,5,20,1999,1998-1999,1999,8:03 am,Thursday,Conyers,Georgia,public,0,6,6,indiscriminate,15,m,student,".22 caliber rifle, 357-caliber Magnum handgun",,Rockdale County,13,13247
4,4.21899E+11,John Bartram High School,4218990,Philadelphia City SD,10/04/1999,10,4,1999,1999-2000,1999,10:00 am,Monday,Philadelphia,Pennsylvania,public,0,1,1,targeted,17,m,student,RG .25-caliber pistol,purchased from friend,Philadelphia County,42,42101
5,2.50279E+11,Dorchester High School,2502790,Boston,11/03/1999,11,3,1999,1999-2000,1999,7:40 am,Wednesday,Boston,Massachusetts,public,0,1,1,targeted,,m,,,,Suffolk County,25,25025
6,3.50069E+11,Deming Middle School,3500690,Deming Public Schools,11/19/1999,11,19,1999,1999-2000,1999,12:45 pm,Friday,Deming,New Mexico,public,1,0,1,accidental or targeted,12,m,student,.22-caliber Colt revolver,home,Luna County,35,35029
7,4.01197E+11,Fort Gibson Middle School,4011970,Fort Gibson,12/06/1999,12,6,1999,1999-2000,1999,7:45 am,Monday,Fort Gibson,Oklahoma,public,0,5,5,indiscriminate,13,m,student,Taurus 9mm pistol,father,Muskogee County,40,40101
8,1.20153E+11,Ridgewood High School,1201530,Pasco,1/19/2000,1,19,2000,1999-2000,2000,3:00 pm,Wednesday,New Port Richey,Florida,public,1,0,1,accidental,16,m,student,.22-caliber Magnum handgun,stolen,Pasco County,12,12101
9,62460009581,Alicia Reyes Elementary School,624600,Merced City Elementary,1/26/2000,1,26,2000,1999-2000,2000,8:34 am,Wednesday,Merced,California,public,0,0,0,targeted,13,m,no connection,.22 caliber revolver,,Merced County,6,6047
10,1.70993E+11,Duke Ellington Elementary School,1709930,City of Chicago School District 299,2/14/2000,2,14,2000,1999-2000,2000,,Monday,Chicago,Illinois,public,0,1,1,accidental,11,m,student,,,Cook County,17,17031
11,2.80132E+11,Horn Lake High School,2801320,Desoto County School District,2/22/2000,2,22,2000,1999-2000,2000,,Tuesday,Horn Lake,Mississippi,public,0,0,0,targeted,,m,,handgun,,DeSoto County,28,28033
12,4.02961E+11,Tecumseh High School,4029610,Tecumseh,2/24/2000,2,24,2000,1999-2000,2000,9:00 am,Thursday,Tecumseh,Oklahoma,public,0,0,0,targeted,19,m,former boyfriend of student,,,Pottawatomie County,40,40125
13,2.6045E+11,Buell Elementary School,2604500,Beecher Community School District,2/29/2000,2,29,2000,1999-2000,2000,10:00 am,Tuesday,Mount Morris Township,Michigan,public,1,0,1,targeted,6,m,student,.32-caliber semiautomatic handgun,"uncle's friend, found in open shoebox",Genesee County,26,26049
14,4.01521E+11,Hugo High School,4015210,Hugo,04/06/2000,4,6,2000,1999-2000,2000,12:00 pm,Thursday,Hugo,Oklahoma,public,0,1,1,targeted,33,f,parent of student,small-caliber pistol,legally purchased by shooter,Choctaw County,40,40023
15,40146000077,Carmichael Elementary School,401460,Sierra Vista Unified District,05/10/2000,5,10,2000,1999-2000,2000,1:30 pm,Wednesday,Sierra Vista,Arizona,public,1,0,1,targeted,39,m,spouse of teacher,,,Cochise County,4,4003
16,1.2015E+11,Lake Worth Middle School,1201500,Palm Beach County School District,5/26/2000,5,26,2000,1999-2000,2000,3:00 pm,Friday,Lake Worth,Florida,public,1,0,1,targeted,13,m,student,.25-caliber handgun,grandfather,Palm Beach County,12,12099
17,5.30723E+11,Dimmitt Middle School,5307230,Renton,7/17/2000,7,17,2000,1999-2000,2000,10:30 am,Monday,Renton,Washington,public,0,0,0,indiscriminate,13,m,student in summer school,.22-caliber handgun,grandparents,King County,53,53033
18,3.90444E+11,Mount Healthy North Junior High,3904441,Mount Healthy City SD,9/18/2000,9,18,2000,2000-2001,2000,,Monday,Mount Healthy,Ohio,public,0,0,0,indiscriminate,14,m,student,.380-caliber semiautomatic handgun,relatives,Hamilton County,39,39061
19,2.20117E+11,Carter G. Woodson Middle School,2201170,Orleans Parish School Board,9/26/2000,9,26,2000,2000-2001,2000,12:00 pm,Tuesday,New Orleans,Louisiana,public,0,1,1,targeted,13,m,student,.38-caliber revolver,,Orleans Parish,22,22071
20,62927004519,Hueneme High School,629270,Oxnard Union High,01/10/2001,1,10,2001,2000-2001,2001,12:50 pm,Wednesday,Oxnard,California,public,0,0,0,targeted,17,m,not a student but often hung around the school,handgun,,Ventura County,6,6111
21,2.40009E+11,Lake Clifton Eastern High School,2400090,Baltimore City Public Schools,1/17/2001,1,17,2001,2000-2001,2001,8:45 am,Wednesday,Baltimore,Maryland,public,1,0,1,targeted,19,m,none,.32-caliber handgun,,Baltimore City,24,24510
22,4.81623E+11,Pearl C. Anderson Middle School,4816230,Dallas ISD,02/06/2001,2,6,2001,2000-2001,2001,,Tuesday,Dallas,Texas,public,0,1,1,targeted,14,m,student (suspended),small revolver,,Dallas County,48,48113
23,61623002026,Santana High School,616230,Grossmont Union High,03/05/2001,3,5,2001,2000-2001,2001,9:20 am,Monday,Santee,California,public,2,13,15,indiscriminate,15,m,student,.22-caliber revolver,father,San Diego County,6,6073
25,61623002020,Granite Hills High School,616230,Grossmont Union High,3/22/2001,3,22,2001,2000-2001,2001,1:00 pm,Thursday,El Cajon,California,public,0,5,5,targeted and indiscriminate,18,m,student,Mossberg pump-action 12-gauge shotgun,,San Diego County,6,6073
26,1.80387E+11,Lew Wallace High School,1803870,Gary Community School Corp,3/30/2001,3,30,2001,2000-2001,2001,8:15 am,Friday,Gary,Indiana,public,1,0,1,targeted,17,m,former student (expelled),pistol,,Lake County,18,18089
27,2.20108E+11,Monroe City Alternative Center,2201080,City of Monroe School Board,4/20/2001,4,20,2001,2000-2001,2001,7:20 am,Friday,Monroe,Louisiana,public,0,0,0,targeted,14,m,student,.380 caliber semi-automatic pistol,,Ouachita Parish,22,22073
28,4.81854E+11,Ennis High School,4818540,Ennis ISD,5/15/2001,5,15,2001,2000-2001,2001,12:00 pm,Tuesday,Ennis,Texas,public,0,0,0,hostage suicide,16,m,student,.357 Magnum pistol,,Ellis County,48,48139
29,62271007751,Belmont High School,622710,Los Angeles Unified,7/30/2001,7,30,2001,2000-2001,2001,7:20 am,Monday,Los Angeles,California,public,0,1,1,targeted,,m,,revolver,,Los Angeles County,6,6037
30,2.10135E+11,Latonia Elementary School,2101350,Covington Independent,09/12/2001,9,12,2001,2001-2002,2001,3:00 pm,Wednesday,Covington,Kentucky,public,1,0,1,targeted,30,f,parent of student,.380-caliber semiautomatic pistol,,Kenton County,21,21117
31,60003206330,Redondo Union High School,600032,Redondo Beach Unified,10/26/2001,10,26,2001,2001-2002,2001,10:00 am,Friday,Redondo Beach,California,public,0,1,1,accidental,16,m,student,.38-caliber handgun,,Los Angeles County,6,6037
32,2.60804E+11,Caro Learning Center,2608040,Caro Community Schools,11/12/2001,11,12,2001,2001-2002,2001,2:40 pm,Monday,Caro,Michigan,public,0,0,0,targeted,17,m,student,20-guage shotgun,legally purchased by shooter,Tuscola County,26,26157
33,3.62058E+11,"Martin Luther King, Jr. High School",3620580,New York City Public Schools,1/15/2002,1,15,2002,2001-2002,2002,2:00 pm,Tuesday,New York City,New York,public,0,2,2,targeted,17,m,student,Lorcin .380-caliber semiautomatic pistol,illegally purchased,New York County,36,36061
